Tickets,Category,Priority,Complaint_Group
non consideration of complaint filed on 02/02/2026,Information Only,P3 - Low,Information
Request to Disregard Submitted Subsequent Application – Application No. 202509240240,Information Only,P3 - Low,Information
Draft deletion Problem,Information Only,P3 - Low,Information
????? ??? ?? ???? ?????? ?? ???? ???? ?????? ?????? ?? ???? ??? ???? ????,Information Only,P3 - Low,Information
need to remove case,Service Request,P2 - Medium,Update Info
Follow-up on Consumer Complaint – Diary No. 202511220609,Information Only,P3 - Low,Information
Hotel Froad,Information Only,P3 - Low,Information
Filing issue,Information Only,P3 - Low,Information
Not able to file Appeal on the portal due to glitches in the portal,Bug,P1 - High,Fix
i am filing new case in state commission firstappeal selected then enter case number submit button case number enter but record not found masage came,Information Only,P3 - Low,Information
No update on case Ref- 202512070271,Information Only,P3 - Low,Information
Documents Pending for Approval Against - NC/FA/2158/2018 (Filing Reference No 100000176969),Administrative,P2 - Medium,Scrutiny Delay
Complaint regarding premature failure of clutch assembly and pulley (Reg No: UK07HF3834),Information Only,P3 - Low,Information
System Issue: Case Filing Reference Generated for Draft Case Without Document Upload,Bug,P1 - High,Fix
Delayed response,Information Only,P3 - Low,Information
Delay in scrutiny – no response,Administrative,P2 - Medium,Scrutiny Delay
Complaint disposed off,Information Only,P3 - Low,Information
Draft complaint deletion,Information Only,P3 - Low,Information
Next Hearing Date,Administrative,P1 - High,Update Info
Defective Hitachi Split AC Units – Service Negligence by Hitachi & Reliance Digital – Refund Claim,Incident,P3 - Low,Complaint
Fraudulent activities For Maruti Suzuki In the purchase of New car MARUTI SUZUKI SWIFT ZXi JUNE 2023 & EXCHAGE OF SELLING OLD MARUTI SUZUKI OLD CAR THROUGH TRUE VALUE,Incident,P3 - Low,Complaint
Dates needs to be updated,Information Only,P3 - Low,Information
Delay in processing e-Jagruti complaint beyond reasonable time,Information Only,P3 - Low,Information
Urgent Request for Application Status Update – Pending Scrutiny for 2 Months,Administrative,P2 - Medium,Scrutiny Delay
I had been charged more than MRP,Incident,P3 - Low,Complaint
Filing of First Appeal not allowing before SCDRC Chandigarh not allowing,Information Only,P2 - Medium,Information
How to complaint in e jagriti,Information Only,P3 - Low,Information
Non display of application Number,Information Only,P3 - Low,Information
Final Judgment on 4th Feb 2026 not updated,Administrative,P1 - High,Update Info
Need to change profile name,Service Request,P2 - Medium,Update Info
To remove the unwanted cases,Service Request,P2 - Medium,Delete Blocked
Ref No.202601200847 Kindly file case in proper Commission,Information Only,P3 - Low,Information
I am not satisfied with the delay - Case Ref 202512191646,Administrative,P2 - Medium,Scrutiny Delay
Problem in e-filing Evidence Affidavit in 'Subsequent Filing',Bug,P2 - Medium,Fix
Request for status update regarding scrutiny of consumer complaint,Administrative,P2 - Medium,Scrutiny Delay
Subject: Objection to Illegal Delay & Lack of Clear Instructions Regarding Hard Copy Submission – Case Pending Since 26-12-2025,Information Only,P3 - Low,Information
Delay in Scrutiny & Illegal Demand for Hard Copy – Case Pending Since 26-12-2025 (Amazon Case),Administrative,P2 - Medium,Scrutiny Delay
Court fees,Incident,P3 - Low,Complaint
My case (202512070540) is pending for SCRUTINY,Administrative,P2 - Medium,Scrutiny Delay
Deletion of records from draft stage,Service Request,P2 - Medium,Delete Blocked
Suggestion to Retrieve Complaint ID Numbers in Jagruti App,Information Only,P3 - Low,Information
"Reference 202601090426 APPLICATION IS SUBMITTED, PENDING FOR SCRUTINY",Administrative,P2 - Medium,Scrutiny Delay
Case status showing Adjourn,Information Only,P3 - Low,Information
About the status of "pending for scrutiny" from last 5 months,Administrative,P2 - Medium,Scrutiny Delay
Repeated Display Panel Failure – Sony TV KD-55X75K – Manufacturing Defect & Deficiency in Service (Request for Free Replacement/Refund),Incident,P3 - Low,Complaint
Refund not get from IRCTC,Incident,P3 - Low,Complaint
Subject: Urgent Request for Status Update & Immediate Admission – 202601231184,Administrative,P2 - Medium,Scrutiny Delay
Please process the case,Information Only,P3 - Low,Information
Reply filed but not reflected,Information Only,P3 - Low,Information
Unable to make payment,Incident,P1 - High,Payment Issues
Complaint Against realme TechLife Washing Machine for Manufacturing Defect and Deficiency in Service,Incident,P3 - Low,Complaint
Case status not updating – Pending for scrutiny since December 1,Administrative,P2 - Medium,Scrutiny Delay
Non-resolution of consumer complaint against Forever Living Products,Information Only,P3 - Low,Information
Case not available/shown on dashboad,Service Request,P2 - Medium,Fix
"Case reverted by forum on 21.01.2026 – remarks not visible, resubmission blocked",Bug,P1 - High,Fix
"Expired item given, repeated issue from blinkit",Incident,P3 - Low,Complaint
Deletion of uploaded wrong file.,Service Request,P1 - High,Update Info
Consumer Case Pending for Scrutiny – Filing Ref No. 202510070183,Administrative,P2 - Medium,Scrutiny Delay
Unable to Pay the Court Fee,Incident,P1 - High,Payment Issues
"Complaint Against Carpenter for Cheating, Poor Workmanship, and Intimidation",Incident,P3 - Low,Complaint
Non availability of uploaded documents,Bug,P1 - High,Fix
Complaint Against Mobikwik – Unauthorized Debit for Failed Recharge,Incident,P3 - Low,Complaint
Non availability to view uploaded documents,Bug,P1 - High,Fix
Deficiency of Service & Unfair Trade Practice – MakeMyTrip,Incident,P3 - Low,Complaint
Correction in Party Details – SBI wrongly added as Additional Complainant,Service Request,P2 - Medium,Update Info
Delete Draft Matter,Service Request,P2 - Medium,Delete Blocked
WS/ reply E-filed is not visible on the portal,Bug,P1 - High,Fix
Filing of First appeal before SCDRC Chandigarh in respect of DCDRC Chandigarh Case DC/44/CC/80/2024 is not allowing,Information Only,P3 - Low,Information
"Application IS SUBMITTED, PENDING FOR SCRUTIN",Administrative,P2 - Medium,Scrutiny Delay
OPPOSITE PARTY DETAILS TO BE CHANGED AS I ENTERERED INCORRECT COMPANY NAME,Information Only,P2 - Medium,Information
Unable to file a consumer complaint on the portal,Bug,P1 - High,Fix
Delay in Status Update of e-Daakhil Application,Administrative,P2 - Medium,Scrutiny Delay
OPPOSITE PARTY DETAILS TO BE CORRECTED,Information Only,P3 - Low,Information
Total Claim Requested 1900000,Information Only,P3 - Low,Information
COMPLAIN ABOUT FLIPKART,Incident,P3 - Low,Complaint
BookMyShow not delaying refund,Incident,P3 - Low,Complaint
Delay in scrutiny of consumer case,Administrative,P2 - Medium,Scrutiny Delay
Regarding deletion of cases in draft mode,Service Request,P2 - Medium,Delete Blocked
URGENT: Scrutiny Pending for 19 Days - Case #202601170358,Administrative,P2 - Medium,Scrutiny Delay
Dairy no-202601311087 -reverted -unable to reupload the updated file,Bug,P1 - High,Fix
Case pending for scrutiny for more than 30 days despite compliance,Administrative,P2 - Medium,Scrutiny Delay
Opposite Party Small Address Correction,Information Only,P3 - Low,Information
REQUEST FOR EXPEDITED SCRUTINY OF CASE FILED ON 02-02-2026 (202602020702),Administrative,P2 - Medium,Scrutiny Delay
efiled document in reply are missing when the commission scrutinize.,Information Only,P3 - Low,Information
Option to upload documents is not shown,Bug,P1 - High,Fix
payment sucessfuly againg reference number 202602050372 but case number not generated,Incident,P3 - Low,Complaint
Travel & Tourism ? Online booking platform (Cleartrip),Information Only,P3 - Low,Information
Unable to see my case in the dashboard,Bug,P1 - High,Fix
My case is still pending id 202512081129,Information Only,P3 - Low,Information
unable to view i.a or download,Bug,P1 - High,Fix
Application Pending for Scrutiny – Technical Assistance Required,Bug,P1 - High,Fix
Complaint Against Tourist Bus Driver for Unfair Retention of Advance Amount,Information Only,P3 - Low,Information
Order not received and Unable to track it,Information Only,P3 - Low,Information
Pending for Scrutiny – Consumer Complaint Status Update,Administrative,P2 - Medium,Scrutiny Delay
Wrong Service and Diagnosis,Information Only,P3 - Low,Information
Draft Content delete,Information Only,P3 - Low,Information
Case Not Listed on Dashboard,Bug,P1 - High,Fix
Smart meter is running fast,Incident,P3 - Low,Complaint
"Still pending for scrutiny from last 2 months, why it is delayed. Reference no. 202511181464 & 202511181464 - Please let me know the exact reason.",Administrative,P2 - Medium,Scrutiny Delay
Payment menu did not come up on submission,Incident,P3 - Low,Complaint
Delay in action / No response from company,Information Only,P3 - Low,Information
Complaint has been reverted Multiple Times,Administrative,P2 - Medium,Scrutiny Delay
unable to upload version and documents,Bug,P1 - High,Fix
Complaint on jio fibernet,Information Only,P3 - Low,Information
Payment Failure - 202506260282,Incident,P3 - Low,Complaint
Case number not displayed,Information Only,P3 - Low,Information
Fee Payment deducted but not updated on Jagriti Portal.,Incident,P3 - Low,Payment Issues
Hearing Date not getting updated for cases registered on through the portal,Bug,P1 - High,Fix
Refund of order raised for Amazon echodot not being done to original payment mode,Incident,P3 - Low,Complaint
"Deficiency in Service – 6 Hour Delay, No Water & Cockroach Infestation – PNR : 6462865867",Information Only,P3 - Low,Information
Flipkart cancel my order,Incident,P3 - Low,Complaint
"Complaint for Deficiency in Service, Negligence, and Unfair Trade Practice Order ID: OD336742674419376100 Incident No: IN26021113011112168475 no response 48 hour's Tat over given by company end Previous grievance No-8621502",Information Only,P3 - Low,Information
Case status still under Pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
contempt of court ki file online karne ke baad bhi sambandhit court main nahi ja rahi hai,Information Only,P3 - Low,Information
File an appeal SC/29/FA/723/2025,Information Only,P3 - Low,Information
Withdrawal of Consumer Complaint and Request for closure – Case No. 202601191357,Administrative,P2 - Medium,Administrative
Request to online hearing,Administrative,P1 - High,Hearing / VC Requests
Where to file vakalat,Information Only,P3 - Low,Information
WS submitted in DC/116/CC/222/2025 (Vide Ref. No. 20250393979) but not reflecting,Bug,P1 - High,Fix
FOR AMAZON MISSING PRODUCT,Incident,P3 - Low,Complaint
Unable to delete the draft application,Bug,P1 - High,Fix
Draft cases not deleted,Information Only,P3 - Low,Information
Request for Video Conferencing Hearing,Administrative,P1 - High,Hearing / VC Requests
Case is still in scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Complaint Against Kaamwalibais Agency – Deficiency of Service and Unfair Trade Practice,Information Only,P3 - Low,Information
Consumer complaint pending for scrutiny for more than two months,Administrative,P2 - Medium,Scrutiny Delay
Complaint regarding unfair deduction and refund issue for unconfirmed Tatkal train ticket,Incident,P3 - Low,Complaint
Reference Id numbers -regarding,Information Only,P3 - Low,Information
Filed versions and case records not visible in dashboard,Bug,P1 - High,Fix
Version not seen in dasgboard,Information Only,P3 - Low,Information
Claim for Compensation for Mental Harassment and Delay – Order ID OD336370243941214100,Information Only,P3 - Low,Information
ADVOCATE AS PETITIONER IN PERSON,Service Request,P2 - Medium,Update Info
Still case is pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
pending for scutiny for more than 2 months,Administrative,P2 - Medium,Scrutiny Delay
No action taken till yet evn I was forwarded many appropriate proofs and complaints too,Information Only,P3 - Low,Information
Complaint regarding non-refund of ?814 despite return delivered (Order ID #8476711839843),Incident,P3 - Low,Complaint
Compliant pending for scrutiny since 06-01-2026,Administrative,P2 - Medium,Scrutiny Delay
Delevery Related/Harassment Releted,Information Only,P3 - Low,Information
Complaint Against Amazon for Delivery of Wrong Product and Denial of Refund,Incident,P3 - Low,Complaint
IA in one already filled appeal is not able to be found,Information Only,P3 - Low,Information
Refund request for cancelled Patna Marathon Season-3 registration,Incident,P3 - Low,Complaint
Search Judgment stuck at captcha,Information Only,P3 - Low,Information
Request to Keep Consumer Complaint Active – Case No. 202601191357 | Previous Closure Ticket ID 20260213000035 Filed by Mistake,Information Only,P3 - Low,Information
"Defective Vehicle, Double EMI Burden and Unfair Trade Practice by RKL Laxmi Tata Motors Gida",Incident,P3 - Low,Complaint
Pending for scrutiny se aage nahi badh raha hai mera case,Administrative,P2 - Medium,Scrutiny Delay
"Complaint under Consumer Protection Act, 2019 for Non-Delivery of Online Order (Order ID: 249526790946336512)",Incident,P3 - Low,Complaint
submitted case reference no 202504081528 status shows pending for scrutiny since 26/08/2025,Administrative,P2 - Medium,Scrutiny Delay
Kurta pant suit purchase,Information Only,P3 - Low,Information
Draft doesn't delete,Information Only,P3 - Low,Information
Request for Status Update – Case No. 202601121120,Administrative,P2 - Medium,Scrutiny Delay
payment failed,Incident,P1 - High,Payment Issues
Dates of next hearing.,Administrative,P1 - High,Update Info
kindly upload the orders,Bug,P1 - High,Fix
Reappearance of Deleted Draft cases,Service Request,P2 - Medium,Delete Blocked
Immediate Action Required - extremely poor service & Refund Request for Defective Ola electric scooter,Incident,P3 - Low,Complaint
I did everything to process the case. I came to your office and never did anything.,Information Only,P3 - Low,Information
Case getting reverted to file complaint in format,Administrative,P2 - Medium,Administrative
Please provide cash number we have received ejagrati number not received call,Information Only,P3 - Low,Information
OLA ROADSTER X + THROATLE PROBLEM REGARDING,Incident,P3 - Low,Complaint
Complaint regarding wrongful exclusion of service under 4-Year SVP(service value package),Incident,P3 - Low,Complaint
my file panding for 6 month rafrence no 202505120545,Administrative,P2 - Medium,Scrutiny Delay
CASE: 202512290608 - NOT FILED YET,Administrative,P2 - Medium,Scrutiny Delay
E-Commerce / Online Shopping – Defective Product & Refund Not Provided ?? Name of Company: Bitrontix.com,Incident,P3 - Low,Complaint
application is not registered vide application no 202602051643,Administrative,P2 - Medium,Scrutiny Delay
Regarding Upload of Notarised Affidavit – Complaint Against Bajaj India Pvt Ltd,Bug,P1 - High,Fix
Not Able to delete the additional party,Information Only,P3 - Low,Information
want to change court from medak to hyderabad 1 nampally,Information Only,P3 - Low,Information
Status Update Request – Complaint Filed on 22-01-2026 (Reference No. 202509090829),Administrative,P2 - Medium,Scrutiny Delay
unable to delete draft copies,Bug,P1 - High,Fix
Request for Status Update – Complaint Filed on 31/12/2025 – Still Under Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Documents Uploaded Not Reflecting in Main Complaint – Technical Issue,Bug,P1 - High,Fix
Adding a case as a Respondent to the Dashboard,Bug,P1 - High,Fix
Delay in Getting a response for further updates,Administrative,P1 - High,Update Info
Delay in Refund and Deficient Service by Royal Enfield,Incident,P3 - Low,Complaint
My name not shown in the advocate list,Service Request,P2 - Medium,Update Info
Request for filing of case - pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
WS/Reply not refleting,Administrative,P3 - Low,Update Info
Status Update Request - Pending Complaint "202601221924",Administrative,P2 - Medium,Scrutiny Delay
ISSUE OF PAYING COURT FEE,Incident,P3 - Low,Complaint
How long should I wait for my consumer complaint case to be numbered in concern forum.,Administrative,P2 - Medium,Scrutiny Delay
not reflected in filing,Administrative,P2 - Medium,Scrutiny Delay
Long pending more than 3 months,Administrative,P2 - Medium,Scrutiny Delay
Drafts not deleted,Service Request,P2 - Medium,Delete Blocked
Filing Consumer Complaint Against Reliance Jio Infocomm Limited for Deficiency in Service,Incident,P3 - Low,Complaint
Delivery boy ne exchange ka otp lekar fraud kiya saman khud rakh liya,Incident,P3 - Low,Complaint
Not able to make the payment in the case,Incident,P3 - Low,Complaint
"complaint filed by Ankur Jain against NICL is still pending for scruitney, please do the needful as more than sufficient time has already been lapsed",Incident,P3 - Low,Complaint
Judgement Details not showing,Bug,P1 - High,Fix
concerning the Green line issues on the Pixel 7 pro device,Incident,P3 - Low,Complaint
Final Judgement not yet uploaded,Administrative,P1 - High,Update Info
Unable to delete draft cases,Service Request,P2 - Medium,Delete Blocked
OPA SCOOTER SERVICE AND PRODUCT RELATED ISSUE,Incident,P3 - Low,Complaint
Regarding Certified Copy of the order in case no DC/83/CC/394/2017,Administrative,P2 - Medium,Update Info
Defective Samsung Refrigerator was sold – Request for Refund and Compensation,Incident,P3 - Low,Complaint
written arguments missing,Administrative,P1 - High,Update Info
Change of Name of Advocate in Profile,Service Request,P2 - Medium,Update Info
Cheating on CIBIL Score Improvement by Credvent Advisory Private Limited,Incident,P3 - Low,Complaint
"Complaint for Unfair Trade Practice and Deficiency in Service regarding the sale of a defective pre-owned vehicle. Honda CR-V 2014, Reg No: MH46Z4564",Incident,P3 - Low,Complaint
Addition of cases TAB,Feature Request,P2 - Medium,New Request
Complaint Regarding Damaged Wardrobe,Incident,P3 - Low,Complaint
Request for Early Scrutiny – Consumer Case Pending for 3 Months,Administrative,P2 - Medium,Scrutiny Delay
Not pick up return my product and I think they done fraud with me,Incident,P3 - Low,Complaint
Reference Number 202601120384 is still Under scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Request to correct Filing – Review Application Reference No. 202602180536,Information Only,P3 - Low,Information
Regarding Payment for filing consumer Complaint,Incident,P3 - Low,Complaint
ONLINE COURT FEE TRANSFER ISSUE,Incident,P3 - Low,Complaint
Complaint Regarding Non-Pickup and Non-Refund of Damaged Product (AWB: 5965492224016) by MYNTRA DESIGNS PVT LTD,Incident,P3 - Low,Complaint
Request for Closure of Consumer Complaint Filed Through Guardian,Information Only,P3 - Low,Information
Request for Status Update – Case Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Deficiency in Service : Repudiation of Death Insurance Claim,Information Only,P3 - Low,Information
Compliant happen more than 2 months but no response from E jagriti,Information Only,P3 - Low,Information
Case Status Not Updating- Pending For Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Product Item Missing,Incident,P3 - Low,Complaint
Request for Review – Case No. 202507021355,Information Only,P3 - Low,Information
Samsung customer executive deleted my apps without my permission,Incident,P3 - Low,Complaint
Date are not updated,Administrative,P1 - High,Update Info
cannot upload documents,Bug,P1 - High,Fix
Repated to defaulty product delivered and denied for service,Incident,P3 - Low,Complaint
Pending scrutiny – request for action,Administrative,P2 - Medium,Scrutiny Delay
REVERT NO UPLDATE,Information Only,P3 - Low,Information
Ref Number 202509140166 filed long back 19-09-2025 not at case filled,Information Only,P3 - Low,Information
long pending 202509140166 WITH 202509190686,Administrative,P2 - Medium,Scrutiny Delay
name and ID not connecting in adding advocate for any uploading on my name SAGI Sridhar Narasimha Kumar,Service Request,P2 - Medium,Update Info
Unauthorized Customs Clearance & Withholding Shipment (AWB: 287075695631),Incident,P3 - Low,Complaint
Not able to upload condone delay petition,Bug,P1 - High,Fix
Withdrawal request for case reference no 202512191478,Administrative,P2 - Medium,Administrative
"Complaint for Deficiency in Service, Negligence, and Unfair Trade Practice Order ID: OD336742674419376100",Incident,P3 - Low,Complaint
could not able to pay court fee,Incident,P1 - High,Payment Issues
I cant see the View Daily Order",Administrative,P2 - Medium,Update Info
Complaint Against Wonderchef for Deficiency in Service,Incident,P3 - Low,Complaint
REVERTED LOSSES AR DASHBORD MY COMPLAINT NO 202512311519,Administrative,P2 - Medium,Scrutiny Delay
Clarification & Enabling Compliance – Filing Ref No. 202512311519,Administrative,P2 - Medium,Scrutiny Delay
Complaint pending for scrutiny since 30/12/2025 – Reference No 202512300083,Administrative,P2 - Medium,Scrutiny Delay
Wrong complainant/respondent displayed on e-Jagriti for DC/362/CC/166/2025 (Ref: 202501290022) — Request correction,Service Request,P1 - High,Update Info
Refund wrongly credited to Amazon Pay Wallet instead of Bank Account (COD Order),Incident,P3 - Low,Complaint
Fraud by magicpin company,Incident,P3 - Low,Complaint
"My case Filling Reference Number 202508041493 next date ,case no. Hi nhi mila h ,",Administrative,P2 - Medium,Update Info
"Undelivered package from DTDC company since, july without any compensation and refund",Incident,P3 - Low,Complaint
Unable to fill a case,Information Only,P3 - Low,Information
NON DELIVERY OF PRODUCT IRDERED,Incident,P3 - Low,Complaint
"Partial Refund Issue – ?5,000 SSC Coaching Fees – Kautilya Academy Rewa",Incident,P3 - Low,Complaint
Dealer agent bima company dwara policy me fraud misseling,Incident,P3 - Low,Complaint
Hindware Chimney Not Working Since Installation,Information Only,P3 - Low,Information
"""Accidental submission without uploading documents (Ref No: 202601190140",Bug,P1 - High,Fix
Request for Urgent Review and Prioritization of Complaint reference number of 20261140915,Information Only,P3 - Low,Information
Ref ID : 202506200842,Information Only,P3 - Low,Information
Unable to remove the additional complainant,Information Only,P3 - Low,Information
Case is in scrutinu since two months,Information Only,P3 - Low,Information
Inflated WBSEDCL Bill & Lack of Physical Meter Reading,Information Only,P3 - Low,Information
How to edit/ correct mobile number of the respondents,Service Request,P2 - Medium,Update Info
Online order Refund issue due to return pickup failure,Incident,P3 - Low,Complaint
Unable to make the payment,Incident,P3 - Low,Complaint
"I haven't received any response so far, where did my issue come from?",Information Only,P3 - Low,Information
How to add 2nd opposite party in consumer complait,Information Only,P3 - Low,Information
WEBSITE NOT RESPONDING,Bug,P1 - High,Fix
"interlocutory application file SC/CB2/29/IA/48/2026, status showing Application Filed ""N/A"", I cant view file",Information Only,P3 - Low,Information
"interlocutory application file SC/CB2/29/IA/47/2026, status showing Application Filed ""N/A"", I cant view file",Information Only,P3 - Low,Information
URGENT: Escalation of Unresolved JioFiber Relocation Request - Service ID: CO000283NS34 - Pending since 29th Jan 2026,Information Only,P3 - Low,Information
Request for Portal Update: Evidence & Affidavit Submission and Next Hearing Date (Case No. DC/169/CC/8/2025),Bug,P1 - High,Fix
Complaint Pending for Scrutiny – Diary No. 202508110053,Administrative,P2 - Medium,Scrutiny Delay
Ticket No - 202511270583 Awaiting response from 4months,Information Only,P3 - Low,Information
"Refund Not Processed – IR ID IM186627 – ?3,00,000 – QNET",Incident,P3 - Low,Complaint
Updation of the status of my case,Information Only,P3 - Low,Information
https://consumerhelpline.gov.in/ Grievance Number: 7707740,Incident,P3 - Low,Complaint
Delayed closure- Case number - 02503280203,Administrative,P2 - Medium,Scrutiny Delay
"CC/265/2024, not traceable in the e-jagruthi site",Bug,P1 - High,Fix
Complaint Pending for Scrutiny for Nearly 10 Months – Diary No. 202504030512,Administrative,P2 - Medium,Scrutiny Delay
Court Fee Issue,Incident,P1 - High,Payment Issues
"Complaint for Deficiency in Service, Unauthorized Dual Debit, Financial Harassment",Information Only,P3 - Low,Information
Case status not updated after hearing dated 09 January 2026 – Case No. DC/183/CC/3/2026,Administrative,P1 - High,Update Info
payment related,Incident,P3 - Low,Complaint
Case pending for scrutiny since 15 Jan 2026- Request for early processing,Administrative,P2 - Medium,Scrutiny Delay
Request for Status Update – Case Filed on 2 December 2025 Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Not able to access or see online filed documents or complaint,Information Only,P3 - Low,Information
Request for withdrawal of consumer complaint,Administrative,P2 - Medium,Administrative
Despite of court fees paid twice for 202602161351 still reflecting as pending payment,Incident,P3 - Low,Complaint
complaint against Burger King-Amayra Skycity,Incident,P3 - Low,Complaint
Unable to Complete my Profile Update,Service Request,P2 - Medium,Update Info
Pending for Scrutiny issu,Administrative,P2 - Medium,Scrutiny Delay
Issue when trying to change address,Service Request,P2 - Medium,Update Info
202601280053 scrutiny not done,Administrative,P2 - Medium,Scrutiny Delay
Name not Showing In Add Advocate after new case filling,Service Request,P2 - Medium,Update Info
"“Consumer Complaint Against Bank for 3-Year Loan Delay, Negligence & Mental Harassment",Information Only,P3 - Low,Information
"Dropdown options for State, District and Post Office unavailable for Mysuru Pincode",Information Only,P3 - Low,Information
Issue of NOTICE,Information Only,P3 - Low,Information
202502020031 (Referance/Diary Number) filed since more than a year - reverted in scrutiny (No change in status since),Administrative,P2 - Medium,Scrutiny Delay
Subject: Unable to view "Deficiency/Revert Remarks" for Case Ref: 202602011034,Information Only,P3 - Low,Information
202511121799 Filed with Grievance - Reverted in Scrutiny (No Change in status),Administrative,P2 - Medium,Scrutiny Delay
"Dmart Anantapur Store issue in Anantapur District, Andhra Pradesh State",Information Only,P3 - Low,Information
Request to Revert Complaint for Correction of Commission Selection-202511251480,Information Only,P3 - Low,Information
Regarding - Glitch in my ID,Information Only,P3 - Low,Information
case history,Information Only,P3 - Low,Information
Fee payment option not processed,Incident,P3 - Low,Complaint
Service realatex,Information Only,P3 - Low,Information
Service related,Information Only,P3 - Low,Information
Draft and revert matter was not deleted in my profile,Service Request,P2 - Medium,Update Info
Regarding misleading from an bike taxi app : Rapido,Incident,P3 - Low,Complaint
Scam by Mx2 games Company,Incident,P3 - Low,Complaint
"Charging More then MRP/GST Charged, which exceeds MRP and Unauthorized Forced ""Circle Membership"" Enrollment",Incident,P3 - Low,Complaint
Delay in name delation,Service Request,P2 - Medium,Update Info
Complaint against Ola EV company.,Incident,P3 - Low,Complaint
Kindly close the complaint.,Administrative,P2 - Medium,Administrative
NOT ABLE TO SAVE COMPLAINANTS DETAILS AND ADDRESS,Service Request,P2 - Medium,Update Info
Tour & Travel Hospitality Membership,Information Only,P3 - Low,Information
Court fee link not working,Incident,P3 - Low,Payment Issues
Compensation Claim for Mishandled Baggage and Missing Contents – PIR: CBTKULAK041150054FT,Incident,P3 - Low,Complaint
"Appeal for Refund of Premium (?76,687.57) – Max Life Guaranteed Income Plan",Incident,P3 - Low,Complaint
Urgent Complaint & Safety Escalation – Booking ID NL2122115737860 (Mumbai to Kashmir),Incident,P3 - Low,Complaint
cant submit version of cc 439/25,Information Only,P3 - Low,Information
Compensation Claim for Mental Harassment and Financial Loss Due to Shipment Delay and Damage,Incident,P3 - Low,Complaint
MADURAI CIRCUIT BENCH - FA/134/2013 - SECOND APPEAL - CANNOT APPLY- REASON REGARDING,Information Only,P3 - Low,Information
Wrongful Refund Denial & False Fraud Allegation – Amazon Order 171-7334535-5042713,Incident,P3 - Low,Complaint
First Appeal filing procedure,Information Only,P3 - Low,Information
My Cases,Information Only,P3 - Low,Information
Dashboard -correction,Bug,P1 - High,Fix
option is not available to upload document,Bug,P1 - High,Fix
Reply uploaded not showing on ejagriti Reference no. 20260000007 in CC/3/2026 titled as "Jatinder Kumar vs Star Union Dai ichi" pending before DCDRC Amritsar,Bug,P1 - High,Fix
Unable to upload documents,Bug,P1 - High,Fix
Not able to edit the draft complaint,Bug,P1 - High,Fix
reply filed under Dc/534/CC/315/2025,Information Only,P3 - Low,Information
"Facing several problems in my printer, and I am getting financially loss due to this printer",Incident,P3 - Low,Complaint
My cases not shown,Bug,P1 - High,Fix
Complain against ola electric,Incident,P3 - Low,Complaint
"I am unable to delete a prior submitted IA, therefore 2 IAs of the same nature had to be uploaded.",Bug,P1 - High,Fix
Cases are not reflecting,Bug,P1 - High,Fix
TILL MY ISSUE NOT RESOLVED,Information Only,P3 - Low,Information
"Complaint Regarding Defective Vilo Fan Purchased from Gupta Electronics, Shahdara",Incident,P3 - Low,Complaint
Problem regarding uploading documents,Bug,P1 - High,Fix
Company fraud activities against.,Incident,P3 - Low,Complaint
"I am filing this complaint against Axis Bank regarding two unauthorized transactions of ?99,999 each (Total ?1,99,998) debited from my account on 08-06-2023",Incident,P3 - Low,Complaint
"NCH - 8507100 disposed, return shipping ?6650 not refunded by Amazon despite using seller label. Order 407-5930495-9489900. Urgent resolution needed",Incident,P3 - Low,Complaint
Know your case number tab in the website - reg,Bug,P1 - High,Fix
not able to delete unwanted uploaded files,Bug,P1 - High,Fix
Recorrection of WRONG PAID IN CONSIDERATION ENTERED,Information Only,P3 - Low,Information
uploaded documents section missing for both cases,Bug,P1 - High,Fix
"Unauthorized vehicle stopping, data misuse & coercive recovery – Tata Capital",Information Only,P3 - Low,Information
case not visibile for first appeal (DC/44/CC/80/2024),Administrative,P2 - Medium,Old Details Missing
NON-REPLACEMENT OF AN INCORRECT PRODUCT,Information Only,P3 - Low,Information
Unsatisfied service by OLA electric..Bike no MH05EW9343,Information Only,P3 - Low,Information
User id can not be null or empty,Information Only,P3 - Low,Information
Something wrong contact system administrator,Information Only,P3 - Low,Information
Complaint against Zomato – Damaged & Stale Cake – Refund Not Provided,Incident,P3 - Low,Complaint
"Complaint Against Shine Learning (Shine.com) for Misleading Sales Practices, Harassment, and Denial of Refund Despite Service Non-Usage",Incident,P3 - Low,Complaint
Deficiency in Service and extreme delay in repairing Lloyd Washing Machine (Case ID: CAS-2029733-J4T9C1),Information Only,P3 - Low,Information
Subsequent document filing vide Reference ID - 20260000376 not being reflected on e jagriti portal,Bug,P1 - High,Fix
Filing of First appeal before SCDRC Chandigarh in respect of DCDRC Chandigarh Case DC/44/CC/80/2024 is not allowing,Information Only,P3 - Low,Information
